"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2620:1ec:50::12","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","113","Application Data"
"2","0.012116","2405:201:5006:95a:3ddc:1390:95b:795e","2620:1ec:50::12","TLSv1.2","109","Application Data"
"3","0.012232","2405:201:5006:95a:3ddc:1390:95b:795e","2620:1ec:50::12","TLSv1.2","109","Application Data"
"4","0.031161","2620:1ec:50::12","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","74","443  >  50265 [ACK] Seq=40 Ack=71 Win=16383 Len=0"
"5","0.163246","Arcadyan_fc:4a:0e","Intel_8d:f9:87","ARP","42","Who has 192.168.29.143? Tell 192.168.29.1"
"6","0.163269","Intel_8d:f9:87","Arcadyan_fc:4a:0e","ARP","42","192.168.29.143 is at b4:6d:83:8d:f9:87"
"7","0.185927","2405:201:5006:95a:3ddc:1390:95b:795e","2404:6800:4002:82b::200a","TCP","75","50518  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1"
"8","0.204569","2404:6800:4002:82b::200a","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","86","443  >  50518 [ACK] Seq=1 Ack=2 Win=1044 Len=0 SLE=1 SRE=2"
"9","0.467522","2405:201:5006:95a:3ddc:1390:95b:795e","2603:1040:a06:3::8","TLSv1.2","112","Application Data"
"10","0.510910","2603:1040:a06:3::8","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","74","443  >  50230 [ACK] Seq=1 Ack=39 Win=501 Len=0"
"11","1.017359","2405:201:5006:95a:3ddc:1390:95b:795e","2405:201:5006:95a::c0a8:1d01","ICMPv6","86","Neighbor Solicitation for 2405:201:5006:95a::c0a8:1d01 from b4:6d:83:8d:f9:87"
"12","1.020578","2405:201:5006:95a::c0a8:1d01","2405:201:5006:95a:3ddc:1390:95b:795e","ICMPv6","78","Neighbor Advertisement 2405:201:5006:95a::c0a8:1d01 (rtr, sol)"
"13","3.178219","192.168.29.143","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"14","4.322362","2603:1040:a06:3::8","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","108","Application Data"
"15","4.374446","2405:201:5006:95a:3ddc:1390:95b:795e","2603:1040:a06:3::8","TCP","74","50230  >  443 [ACK] Seq=39 Ack=35 Win=509 Len=0"
"16","5.153468","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:388::","TCP","75","50501  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"17","5.179124","2600:1901:1:388::","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","86","443  >  50501 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2"
"18","6.281768","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TLSv1.2","109","Application Data"
"19","6.300793","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TCP","74","443  >  50383 [ACK] Seq=1 Ack=36 Win=1050 Len=0"
"20","11.329180","2405:201:5006:95a:3ddc:1390:95b:795e","2405:201:5006:95a::c0a8:1d01","DNS","96","Standard query 0x6239 A www.msftncsi.com"
"21","11.330657","2405:201:5006:95a:3ddc:1390:95b:795e","2405:201:5006:95a::c0a8:1d01","DNS","96","Standard query 0x6ade AAAA www.msftncsi.com"
"22","11.337146","2405:201:5006:95a::c0a8:1d01","2405:201:5006:95a:3ddc:1390:95b:795e","DNS","173","Standard query response 0x6ade AAAA www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net"
"23","11.344755","2405:201:5006:95a::c0a8:1d01","2405:201:5006:95a:3ddc:1390:95b:795e","DNS","202","Standard query response 0x6239 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 49.44.179.211 A 49.44.179.225"
"24","11.346217","192.168.29.143","49.44.179.211","TCP","66","50530  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"25","11.362496","49.44.179.211","192.168.29.143","TCP","66","80  >  50530 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"26","11.362706","192.168.29.143","49.44.179.211","TCP","54","50530  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"27","11.363282","192.168.29.143","49.44.179.211","HTTP","148","GET /ncsi.txt HTTP/1.1 "
"28","11.379143","49.44.179.211","192.168.29.143","TCP","54","80  >  50530 [ACK] Seq=1 Ack=95 Win=64256 Len=0"
"29","11.383474","49.44.179.211","192.168.29.143","HTTP","233","HTTP/1.1 200 OK  (text/plain)"
"30","11.383710","49.44.179.211","192.168.29.143","TCP","54","80  >  50530 [FIN, ACK] Seq=180 Ack=95 Win=64256 Len=0"
"31","11.383812","192.168.29.143","49.44.179.211","TCP","54","50530  >  80 [ACK] Seq=95 Ack=181 Win=131072 Len=0"
"32","11.384012","192.168.29.143","49.44.179.211","TCP","54","50530  >  80 [FIN, ACK] Seq=95 Ack=181 Win=131072 Len=0"
"33","11.697740","192.168.29.143","49.44.179.211","TCP","54","[TCP Retransmission] 50530  >  80 [FIN, ACK] Seq=95 Ack=181 Win=131072 Len=0"
"34","11.709949","49.44.179.211","192.168.29.143","TCP","54","80  >  50530 [ACK] Seq=181 Ack=96 Win=64256 Len=0"
"35","11.878930","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"36","11.879132","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"37","11.879176","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TCP","74","50383  >  443 [ACK] Seq=36 Ack=2441 Win=517 Len=0"
"38","11.879554","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"39","11.880104","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"40","11.880167","2405:201:5006:95a:3ddc:1390:95b:795e","2600:1901:1:304::","TCP","74","50383  >  443 [ACK] Seq=36 Ack=4881 Win=517 Len=0"
"41","11.881345","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","1294","Application Data"
"42","11.881908","2600:1901:1:304::","2405:201:5006:95a:3ddc:1390:95b:795e","TLSv1.2","347","Application Data"
